symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price
0,106,,gas,std,two,hatchback,fwd,front,96.5,167.5,65.2,53.3,2236,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800,27,33,7895
0,106,honda,gas,std,two,hatchback,,front,96.5,167.5,65.2,53.3,2289,ohc,four,110,1bbl,,3.58,9.0,86,5800,27,33,9095
0,85,honda,gas,std,four,sedan,,front,96.5,175.4,65.2,54.1,2304,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800,27,33,8845
0,85,honda,,std,four,sedan,fwd,front,96.5,175.4,,54.1,2372,,four,110,1bbl,,3.58,9.0,86,5800,27,,10295
0,85,honda,gas,std,four,sedan,fwd,front,96.5,175.4,65.2,,2465,ohc,four,110,,3.15,3.58,9.0,101,5800,24,28,12945
,107,honda,gas,,two,sedan,fwd,,96.5,169.1,66.0,51.0,2293,ohc,four,110,2bbl,3.15,3.58,9.1,100,5500,25,,10345
0,?,,gas,std,four,sedan,rwd,front,94.3,170.7,61.8,53.5,2337,ohc,four,111,2bbl,3.31,3.23,8.5,78,4800,24,29,6785
1,?,isuzu,gas,std,two,sedan,fwd,front,94.5,155.9,63.6,52.0,1874,ohc,four,90,2bbl,,,9.6,70,5400,38,43,
0,?,isuzu,gas,std,four,,fwd,front,94.5,155.9,63.6,52.0,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,38,43,?
2,?,isuzu,gas,std,two,hatchback,rwd,front,96.0,172.6,65.2,51.4,2734,ohc,four,119,spfi,,3.23,9.2,90,5000,24,29,
0,145,jaguar,gas,std,four,sedan,rwd,front,113.0,199.6,69.6,52.8,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750,,19,
0,?,jaguar,gas,std,four,sedan,rwd,front,113.0,199.6,69.6,52.8,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750,15,19,35550
,?,jaguar,gas,std,,sedan,rwd,front,102.0,191.7,70.6,47.8,3950,ohcv,,326,,3.54,2.76,,262,5000,13,17,36000
1,104,mazda,gas,std,two,hatchback,fwd,front,,159.1,64.2,54.1,1890,ohc,four,91,2bbl,3.03,,9.0,68,5000,,31,
1,,mazda,gas,std,two,hatchback,fwd,front,93.1,,64.2,54.1,1900,,four,91,2bbl,3.03,3.15,9.0,68,5000,31,38,6095
1,104,mazda,gas,std,,hatchback,,front,93.1,159.1,64.2,54.1,1905,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000,,38,6795
1,113,mazda,gas,std,four,sedan,fwd,front,93.1,166.8,64.2,54.1,1945,ohc,four,91,2bbl,3.03,3.15,,,5000,31,38,6695
1,113,mazda,gas,std,four,sedan,fwd,front,93.1,,64.2,54.1,,ohc,four,91,,3.08,3.15,9.0,68,5000,31,38,7395
3,150,mazda,,std,two,hatchback,rwd,front,95.3,169.0,,49.6,2380,rotor,,70,4bbl,?,?,9.4,,6000,17,23,10945
,150,,gas,std,two,hatchback,rwd,front,95.3,169.0,65.7,,2380,rotor,two,70,4bbl,?,?,9.4,101,6000,17,23,11845
3,150,mazda,gas,std,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2385,rotor,two,70,4bbl,?,?,9.4,101,6000,17,23,13645
3,150,,gas,std,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2500,rotor,two,80,mpfi,?,?,9.4,135,6000,16,23,15645
1,129,mazda,gas,std,,hatchback,fwd,,98.8,177.8,66.5,53.7,2385,,four,122,2bbl,3.39,,8.6,84,4800,26,32,8845
0,115,mazda,gas,std,four,sedan,fwd,front,98.8,177.8,,55.5,2410,ohc,four,122,2bbl,3.39,,8.6,84,,26,32,8495
1,129,mazda,gas,std,two,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385,,four,122,,3.39,3.39,,,4800,26,32,10595
,115,mazda,gas,std,four,sedan,fwd,,98.8,,,55.5,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,10245
0,?,mazda,,std,?,,fwd,front,,177.8,66.5,55.5,2443,ohc,four,122,idi,3.39,3.39,,64,4650,,42,
0,115,mazda,gas,std,four,hatchback,fwd,front,98.8,177.8,66.5,55.5,2425,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,11245
0,118,mazda,gas,std,four,sedan,rwd,front,104.9,175.0,,54.4,2670,ohc,four,140,mpfi,3.76,3.16,8.0,120,5000,19,27,18280
0,,mazda,diesel,std,four,sedan,,front,104.9,175.0,66.1,54.4,2700,ohc,four,134,idi,3.43,3.64,22.0,72,4200,31,,18344
-1,93,mercedes-benz,diesel,turbo,four,sedan,rwd,front,110.0,190.9,70.3,56.5,3515,ohc,five,183,idi,3.58,3.64,21.5,123,4350,22,,
-1,93,mercedes-benz,diesel,turbo,four,wagon,,front,110.0,190.9,70.3,,3750,ohc,five,183,,3.58,3.64,21.5,123,4350,22,25,28248
0,93,mercedes-benz,diesel,turbo,two,hardtop,,front,106.7,187.5,70.3,,3495,ohc,five,183,idi,3.58,3.64,21.5,123,4350,22,25,28176
-1,93,mercedes-benz,,turbo,four,sedan,rwd,front,115.6,202.6,71.7,56.3,3770,ohc,five,183,idi,3.58,3.64,21.5,123,4350,22,25,
-1,?,mercedes-benz,gas,,,,rwd,front,115.6,202.6,71.7,56.5,3740,ohcv,,234,mpfi,3.46,,8.3,155,4750,16,18,34184
3,,mercedes-benz,gas,std,two,convertible,rwd,front,96.6,,70.5,50.8,3685,ohcv,,234,mpfi,3.46,3.1,8.3,155,4750,16,18,35056
0,?,,gas,std,four,sedan,rwd,front,120.9,208.1,,56.7,3900,ohcv,eight,308,mpfi,,3.35,8.0,184,4500,14,16,40960
1,?,mercedes-benz,gas,std,two,hardtop,rwd,front,112.0,199.2,72.0,55.4,3715,ohcv,,304,mpfi,3.8,3.35,8.0,,4500,,16,45400
1,?,mercury,gas,turbo,two,hatchback,rwd,front,102.7,178.4,68.0,54.8,2910,ohc,four,140,mpfi,3.78,3.12,8.0,175,5000,19,24,16503
2,161,mitsubishi,gas,std,two,hatchback,fwd,front,,157.3,64.4,50.8,,ohc,four,92,,,3.23,9.4,68,5500,37,41,5389
2,161,,gas,std,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,1944,ohc,four,92,2bbl,,3.23,9.4,68,5500,31,38,6189
2,161,mitsubishi,gas,std,two,hatchback,fwd,front,,157.3,64.4,50.8,2004,ohc,,92,2bbl,2.97,3.23,9.4,68,,31,38,6669
1,161,mitsubishi,gas,turbo,two,hatchback,fwd,front,93.0,157.3,63.8,50.8,,ohc,four,98,spdi,3.03,3.39,7.6,102,5500,24,30,7689
3,153,mitsubishi,,turbo,two,hatchback,fwd,front,96.3,173.0,,49.4,2370,ohc,four,110,spdi,3.17,3.46,7.5,116,5500,23,30,9959
3,153,mitsubishi,gas,std,two,hatchback,fwd,front,96.3,173.0,65.4,49.4,2328,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,25,32,
3,?,mitsubishi,gas,turbo,two,hatchback,fwd,front,,,66.3,50.2,2833,ohc,four,156,,,3.86,7.0,145,5000,19,24,12629
3,?,mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2921,ohc,four,,spdi,3.59,3.86,7.0,145,5000,,,
3,?,mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,,66.3,,,ohc,four,156,,3.59,3.86,7.0,145,5000,19,24,14489
1,125,,,std,four,sedan,fwd,front,96.3,172.4,65.4,51.6,,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,25,32,6989
1,125,mitsubishi,gas,std,four,,fwd,front,96.3,172.4,,51.6,2405,,four,122,2bbl,3.35,3.46,8.5,,5000,25,32,
,125,mitsubishi,gas,turbo,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2403,ohc,four,110,spdi,3.17,3.46,7.5,116,5500,23,,9279
-1,137,mitsubishi,gas,std,four,sedan,,front,,172.4,65.4,51.6,,ohc,four,110,spdi,3.17,3.46,7.5,116,5500,23,30,
1,128,nissan,gas,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1889,ohc,four,,2bbl,3.15,3.29,9.4,,5200,31,37,5499
1,128,nissan,diesel,std,two,sedan,fwd,front,94.5,165.3,,54.5,2017,ohc,four,103,idi,2.99,3.47,21.9,55,4800,45,50,7099
1,128,nissan,gas,std,two,sedan,fwd,,94.5,165.3,63.8,54.5,,ohc,four,97,2bbl,,,9.4,,5200,31,37,6649
1,,nissan,gas,std,four,sedan,fwd,,94.5,165.3,63.8,,1938,ohc,four,97,2bbl,3.15,3.29,,69,5200,31,37,
1,103,nissan,gas,std,four,,fwd,front,94.5,170.2,63.8,53.5,2024,ohc,four,97,2bbl,3.15,3.29,,69,5200,31,37,7349
1,128,nissan,gas,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1951,ohc,four,97,2bbl,3.15,,9.4,69,5200,31,37,7299
1,128,nissan,gas,std,two,hatchback,fwd,front,94.5,165.6,63.8,,2028,ohc,,,2bbl,3.15,3.29,9.4,69,5200,,37,7799
1,122,nissan,gas,std,four,sedan,fwd,front,94.5,165.3,63.8,54.5,1971,ohc,,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7499
1,103,nissan,gas,std,,wagon,fwd,front,94.5,170.2,63.8,,2037,,four,97,2bbl,3.15,3.29,9.4,,,31,37,7999
2,,nissan,gas,std,two,hardtop,fwd,front,95.1,162.4,63.8,53.3,,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,8249
0,106,nissan,gas,std,four,hatchback,fwd,front,97.2,173.4,65.2,54.7,2324,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200,27,34,8949
0,,nissan,gas,std,four,sedan,fwd,front,97.2,173.4,65.2,54.7,2302,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200,27,34,
0,128,nissan,gas,std,four,sedan,fwd,front,,181.7,66.5,55.1,3095,ohcv,six,,,3.43,3.27,,152,5200,,22,13499
0,108,nissan,gas,std,four,wagon,fwd,front,100.4,184.6,66.5,56.1,3296,ohcv,six,,mpfi,3.43,,9.0,152,5200,17,22,
0,108,,gas,,four,sedan,fwd,front,100.4,184.6,66.5,55.1,3060,ohcv,six,181,mpfi,3.43,3.27,9.0,152,5200,19,25,13499
3,194,nissan,gas,std,two,hatchback,rwd,front,91.3,170.7,67.9,49.7,3071,ohcv,six,181,mpfi,3.43,3.27,9.0,160,5200,19,25,17199
3,194,nissan,gas,turbo,two,hatchback,rwd,front,91.3,170.7,67.9,49.7,3139,ohcv,six,181,mpfi,3.43,3.27,7.8,200,5200,17,23,19699
1,231,,gas,std,two,hatchback,rwd,front,99.2,,67.9,49.7,3139,ohcv,six,181,mpfi,3.43,3.27,9.0,160,,19,25,18399
0,161,peugot,gas,std,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3020,l,four,120,mpfi,3.46,3.19,8.4,97,5000,19,24,
0,161,peugot,diesel,turbo,four,sedan,rwd,,,,68.4,56.7,3197,l,,152,idi,3.7,3.52,,95,4150,28,33,13200
0,?,peugot,gas,std,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3230,l,,120,mpfi,,3.19,8.4,97,5000,19,24,12440
0,?,,diesel,turbo,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3430,l,,152,idi,3.7,3.52,21.0,95,4150,25,25,
,161,peugot,gas,std,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3075,l,four,120,mpfi,3.46,,8.4,95,5000,19,24,
0,161,peugot,diesel,turbo,four,sedan,,front,107.9,186.7,68.4,56.7,,l,four,152,idi,3.7,3.52,21.0,95,4150,28,,16900
0,?,peugot,gas,,four,wagon,rwd,front,114.2,198.9,68.4,56.7,3285,l,four,,mpfi,3.46,2.19,8.4,95,5000,19,24,16695
0,?,peugot,diesel,turbo,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3485,l,,152,idi,3.7,3.52,21.0,95,4150,25,25,17075
,161,peugot,gas,std,four,sedan,rwd,front,107.9,,68.4,56.7,3075,,four,120,mpfi,3.46,3.19,8.4,97,5000,19,24,16630
0,,peugot,diesel,turbo,four,sedan,rwd,front,107.9,,68.4,56.7,,l,four,152,idi,3.7,3.52,21.0,95,4150,28,33,17950
0,161,peugot,gas,turbo,four,sedan,rwd,front,108.0,186.7,68.3,56.0,3130,,four,,mpfi,3.61,3.21,7.0,,5600,18,24,18150
1,119,plymouth,gas,,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1918,ohc,four,90,2bbl,,,9.4,68,5500,37,41,5572
1,119,plymouth,gas,turbo,two,,fwd,front,93.7,157.3,63.8,50.8,2128,ohc,four,98,spdi,3.03,3.39,7.6,102,5500,24,30,7957
,154,plymouth,gas,std,four,hatchback,fwd,front,93.7,157.3,63.8,,,,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6229
1,154,,gas,,four,sedan,fwd,front,93.7,167.3,63.8,50.8,1989,ohc,four,90,2bbl,2.97,3.23,9.4,,5500,31,38,6692
1,154,plymouth,gas,std,four,sedan,,front,93.7,167.3,,50.8,2191,,,98,2bbl,2.97,3.23,9.4,68,5500,,,
-1,74,plymouth,,std,four,wagon,fwd,front,103.3,174.6,64.6,59.8,2535,ohc,four,122,,3.35,3.46,,88,5000,24,30,
3,?,plymouth,gas,turbo,two,hatchback,,front,95.9,173.2,66.3,,2818,ohc,,156,spdi,3.59,3.86,7.0,145,5000,19,24,12764
3,186,porsche,gas,std,two,hatchback,rwd,front,94.5,168.9,68.3,50.2,2778,ohc,four,151,mpfi,3.94,3.11,9.5,143,5500,19,27,22018
3,?,porsche,gas,,two,hardtop,rwd,rear,89.5,168.9,65.0,51.6,2756,,six,194,mpfi,3.74,2.9,9.5,207,5900,17,25,32528
3,?,porsche,,std,two,hardtop,rwd,rear,89.5,168.9,65.0,,2756,ohcf,,194,mpfi,3.74,2.9,9.5,207,5900,,25,34028
3,?,porsche,gas,std,two,convertible,rwd,rear,89.5,168.9,65.0,51.6,2800,ohcf,six,194,mpfi,3.74,2.9,9.5,207,5900,,,37028
1,?,porsche,gas,std,two,hatchback,,front,98.4,175.7,72.3,50.5,3366,dohcv,eight,203,mpfi,3.94,,,288,5750,17,28,?
,,renault,gas,std,four,wagon,fwd,front,96.1,181.5,66.5,55.2,2579,ohc,four,132,mpfi,3.46,3.9,8.7,?,?,23,31,
,,renault,gas,std,two,hatchback,fwd,front,96.1,,66.6,50.5,,ohc,four,132,mpfi,3.46,3.9,8.7,?,?,23,,9895
3,150,,gas,std,two,hatchback,fwd,front,99.1,186.6,66.5,56.1,2658,ohc,four,121,mpfi,3.54,3.07,9.31,110,5250,21,28,
2,104,saab,gas,,four,sedan,fwd,front,99.1,186.6,66.5,56.1,,ohc,four,121,mpfi,3.54,3.07,9.3,110,5250,21,28,12170
3,150,saab,,std,two,,fwd,front,99.1,,66.5,56.1,2707,ohc,,121,mpfi,2.54,2.07,9.3,110,5250,,28,15040
2,104,saab,,std,four,sedan,,front,99.1,186.6,66.5,56.1,2758,ohc,four,121,mpfi,,3.07,,110,5250,21,28,15510
3,150,saab,gas,turbo,,hatchback,fwd,front,99.1,186.6,66.5,56.1,2808,dohc,four,121,mpfi,3.54,3.07,9.0,160,5500,19,26,18150
2,104,,gas,,four,sedan,fwd,front,99.1,186.6,66.5,56.1,2847,dohc,,121,mpfi,3.54,3.07,,160,5500,19,26,18620
2,83,subaru,gas,std,two,hatchback,fwd,,93.7,,63.4,53.7,2050,,four,97,2bbl,3.62,2.36,9.0,69,,31,,5118
2,,subaru,,std,two,hatchback,fwd,front,93.7,157.9,63.6,,2120,ohcf,four,108,2bbl,3.62,2.64,,73,4400,26,31,7053
2,83,subaru,gas,std,,hatchback,4wd,front,93.3,157.3,63.8,55.7,2240,ohcf,four,108,2bbl,3.62,2.64,8.7,73,4400,26,31,7603
0,102,subaru,gas,std,four,sedan,fwd,front,97.2,172.0,65.4,52.5,2145,ohcf,four,108,2bbl,3.62,2.64,9.5,82,4800,32,37,7126
0,102,subaru,,std,four,sedan,fwd,front,97.2,172.0,65.4,52.5,2190,ohcf,four,,2bbl,3.62,2.64,9.5,82,4400,28,33,7775
0,102,subaru,gas,std,four,sedan,fwd,front,97.2,172.0,65.4,52.5,2340,ohcf,four,108,mpfi,3.62,2.64,9.0,94,5200,26,,9960
0,102,subaru,,std,four,,,front,97.0,172.0,65.4,54.3,2385,ohcf,four,108,2bbl,3.62,2.64,9.0,82,4800,24,25,9233
0,102,,gas,turbo,four,sedan,4wd,front,97.0,172.0,65.4,54.3,2510,ohcf,four,108,mpfi,3.62,2.64,7.7,111,4800,24,29,11259
0,89,subaru,gas,std,four,wagon,fwd,,97.0,173.5,65.4,53.0,2290,ohcf,four,108,2bbl,3.62,2.64,,82,4800,28,32,7463
,89,subaru,gas,std,four,wagon,fwd,front,97.0,173.5,65.4,53.0,2455,ohcf,four,108,mpfi,3.62,2.64,9.0,,,25,31,10198
,85,subaru,gas,std,four,wagon,4wd,front,96.9,173.6,65.4,,2420,ohcf,four,108,2bbl,3.62,2.64,9.0,82,4800,23,29,8013
0,,subaru,gas,turbo,four,wagon,4wd,front,96.9,173.6,,54.9,,ohcf,four,108,mpfi,3.62,2.64,7.7,111,4800,23,23,11694
1,,toyota,,std,two,hatchback,fwd,front,95.7,158.7,63.6,54.5,1985,ohc,four,,2bbl,3.05,3.03,9.0,62,4800,35,39,
1,87,toyota,gas,std,two,,fwd,,95.7,158.7,,54.5,,ohc,four,92,2bbl,3.05,3.03,9.0,,4800,,38,6338
1,74,toyota,,std,four,hatchback,fwd,front,95.7,158.7,63.6,54.5,2015,,four,92,2bbl,3.05,3.03,,62,4800,,38,6488
0,77,toyota,gas,,four,wagon,fwd,front,95.7,169.7,63.6,59.1,2280,ohc,four,92,2bbl,3.05,3.03,,62,,31,,
0,81,toyota,gas,std,four,wagon,4wd,front,95.7,169.7,63.6,59.1,2290,ohc,four,92,2bbl,3.05,,,62,4800,27,32,7898
0,91,toyota,gas,std,four,wagon,4wd,front,95.7,169.7,,59.1,,ohc,four,92,2bbl,3.05,,9.0,62,4800,27,32,8778
0,91,toyota,,std,four,sedan,fwd,front,95.7,166.3,64.4,53.0,2081,,four,98,2bbl,3.19,3.03,9.0,70,4800,30,37,6938
0,91,toyota,gas,std,four,hatchback,fwd,front,95.7,166.3,64.4,52.8,2109,,four,98,2bbl,3.19,3.03,9.0,,4800,30,,
0,,toyota,diesel,std,four,sedan,fwd,front,95.7,166.3,,53.0,,ohc,four,110,idi,3.27,3.35,22.5,56,4500,34,36,7898
0,91,toyota,diesel,std,four,hatchback,fwd,front,95.7,166.3,64.4,52.8,2275,,four,110,idi,3.27,,22.5,56,4500,38,47,7788
0,91,toyota,gas,std,four,sedan,fwd,,95.7,,,53.0,2094,ohc,four,98,2bbl,3.19,3.03,9.0,,4800,38,47,
0,91,toyota,gas,std,four,hatchback,fwd,front,95.7,,64.4,52.8,2122,ohc,four,98,2bbl,3.19,3.03,9.0,,4800,28,34,8358
0,91,toyota,gas,std,four,sedan,fwd,front,95.7,,64.4,52.8,2140,ohc,four,,2bbl,,3.03,9.0,70,4800,28,34,9258
1,168,toyota,gas,std,two,sedan,rwd,front,,168.7,,52.6,2169,ohc,four,98,2bbl,3.19,3.03,9.0,70,4800,29,34,8058
,168,toyota,gas,std,two,hatchback,rwd,front,94.5,168.7,64.0,52.6,2204,ohc,four,,2bbl,3.19,3.03,,70,4800,29,,
1,168,toyota,gas,std,two,sedan,rwd,front,94.5,168.7,64.0,,2265,dohc,four,98,,3.24,3.08,9.4,112,6600,26,29,9298
1,,,gas,std,two,hatchback,rwd,front,94.5,168.7,64.0,52.6,2300,dohc,four,98,,3.24,3.08,,,6600,26,29,9538
2,134,toyota,gas,std,two,,rwd,,98.4,176.2,65.6,52.0,2540,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800,24,30,8449
2,134,toyota,gas,std,two,hardtop,rwd,front,98.4,176.2,65.6,52.0,2536,ohc,four,146,mpfi,3.62,3.5,9.3,116,,24,30,9639
2,134,toyota,gas,,two,hatchback,rwd,front,98.4,176.2,65.6,52.0,2551,ohc,four,146,mpfi,3.62,,9.3,116,,24,30,9989
2,134,toyota,gas,std,two,hardtop,rwd,front,98.4,176.2,65.6,52.0,2679,ohc,four,146,mpfi,3.62,3.5,,116,4800,24,30,11199
2,134,toyota,gas,std,,hatchback,rwd,front,98.4,176.2,65.6,52.0,2714,ohc,four,146,mpfi,3.62,3.5,9.3,116,,,30,11549
2,134,toyota,gas,std,,convertible,rwd,,,176.2,65.6,53.0,2975,,four,146,mpfi,3.62,3.5,9.3,116,4800,24,30,17669
-1,65,,gas,std,four,sedan,fwd,front,102.4,175.6,66.5,54.9,2326,ohc,four,122,mpfi,3.31,3.54,8.7,,4200,,34,8948
-1,65,toyota,diesel,turbo,four,sedan,fwd,front,102.4,175.6,66.5,54.9,2480,ohc,four,110,idi,,3.35,22.5,73,4500,,33,10698
-1,65,toyota,gas,std,four,hatchback,fwd,front,102.4,175.6,66.5,53.9,2414,ohc,four,122,mpfi,3.31,3.54,8.7,92,4200,27,32,9988
-1,65,toyota,gas,std,four,sedan,,front,102.4,175.6,66.5,,2414,ohc,four,122,mpfi,3.31,3.54,8.7,92,4200,27,,10898
-1,65,toyota,gas,std,four,hatchback,,front,102.4,175.6,66.5,53.9,2458,ohc,four,122,mpfi,,3.54,8.7,92,4200,27,32,11248
3,197,toyota,gas,std,two,hatchback,rwd,front,102.9,183.5,67.7,,2976,dohc,six,171,mpfi,3.27,3.35,,161,5200,20,24,16558
3,197,toyota,gas,std,two,hatchback,rwd,front,,183.5,67.7,52.0,3016,dohc,six,171,,3.27,3.35,,161,5200,19,24,15998
